iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,contribution_productivity_0,contribution_productivity_1,within,structural_change,short_series,country_productivity_0,country_productivity_1,country_actual_change,country_decomposed_change,country,country_exists_pre,depth_score_pre,agreement_type_pre,reciprocal_pre,fta_or_deeper_pre,nonreciprocal_only_pre,reciprocal_trade_share_pre,reciprocal_gdp_share_pre,gdp_african_pre,gdpcap_african_pre,pop_african_pre,wto_african_pre,gatt_african_pre,reciprocal_post,country_exists_post,treatment_status,reciprocal_interval
AGO,2002,2005,Agriculture,0.3696076101494654,0.3841255029278994,129.44989615142111,131.68126797322097,47.84566675062325,50.582133286397,0.017237339605045,0.0399562731423016,False,737.2029754414305,825.6386596738698,0.1199611059348816,0.1199611059348817,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,12497345.536,0.84,14886.574,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2002,2005,Manufacturing,0.0876963476168498,0.0862784409742909,4184.59057855477,5061.84945665711,366.9733242906077,436.7285016259236,0.196521597448897,-0.0064391780519042,False,737.2029754414305,825.6386596738698,0.1199611059348816,0.1199611059348817,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,12497345.536,0.84,14886.574,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2002,2005,Services,0.5426960422336845,0.5295960560978096,594.0415484233574,638.8416673866577,322.3839844001995,338.32802476154933,0.0402375198952353,0.0092191564065169,False,737.2029754414305,825.6386596738698,0.1199611059348816,0.1199611059348817,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,12497345.536,0.84,14886.574,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2005,2008,Agriculture,0.3841255029278994,0.4458598861960177,131.68126797322097,118.79433500111844,50.582133286397,52.96562868433029,-0.0978645875032372,0.1449858780276578,False,825.6386596738698,935.3162676446102,0.1328397195136955,0.1328397195136952,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,28233699.328,1.707,16544.376,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2005,2008,Manufacturing,0.0862784409742909,0.0818534255795817,5061.84945665711,6387.563749939546,436.7285016259236,522.8439660592458,0.2519164300425389,-0.0547333652489255,False,825.6386596738698,935.3162676446102,0.1328397195136955,0.1328397195136952,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,28233699.328,1.707,16544.376,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2005,2008,Services,0.5295960560978096,0.4722866882244005,638.8416673866577,761.2043623729276,338.32802476154933,359.5066729010341,0.1236523753342121,-0.0610544035746712,False,825.6386596738698,935.3162676446102,0.1328397195136955,0.1328397195136952,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,28233699.328,1.707,16544.376,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2008,2011,Agriculture,0.4458598861960177,0.5121794368787729,118.79433500111844,110.31836163554262,52.96562868433029,56.50279633988102,-0.0713499794876248,0.1381323012199298,False,935.3162676446102,875.968966609573,-0.0634515864719111,-0.063451586471911,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,84178083.84,4.596,18314.442,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2008,2011,Manufacturing,0.0818534255795817,0.0771681235851005,6387.563749939546,5550.29643753532,522.8439660592458,428.3059478319393,-0.1411706930249015,-0.0396442811630073,False,935.3162676446102,875.968966609573,-0.0634515864719111,-0.063451586471911,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,84178083.84,4.596,18314.442,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2008,2011,Services,0.4722866882244005,0.4106524395361266,761.2043623729276,952.5335474164772,359.5066729010341,391.1602224377528,0.2235713324413622,-0.1355241502255475,False,935.3162676446102,875.968966609573,-0.0634515864719111,-0.063451586471911,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,84178083.84,4.596,18314.442,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2011,2014,Agriculture,0.5121794368787729,0.4977732774580391,110.31836163554262,133.15608284124136,56.50279633988102,66.28153976935887,0.2070165008536605,-0.0339499614446051,False,875.968966609573,943.805516085225,0.0774417268892669,0.0774417268892669,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,104115871.744,5.159,20180.49,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2011,2014,Manufacturing,0.0771681235851005,0.0787504090203227,5550.29643753532,5541.718147986125,428.3059478319393,436.4125769288139,0.0734775830019625,-0.0545503905641505,False,875.968966609573,943.805516085225,0.0774417268892669,0.0774417268892669,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,104115871.744,5.159,20180.49,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2011,2014,Services,0.4106524395361266,0.4234763135216381,952.5335474164772,1041.6435721667865,391.1602224377528,441.1113993870523,0.0834420435933437,0.0442579987013416,False,875.968966609573,943.805516085225,0.0774417268892669,0.0774417268892669,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,104115871.744,5.159,20180.49,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2014,2017,Agriculture,0.4977732774580391,0.4980233099167362,133.15608284124136,151.00077744833035,66.28153976935887,75.20190698481794,0.1340133640636213,0.0005696170575087,False,943.805516085225,896.4011346575719,-0.0502268535410557,-0.0502268535410557,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,126776877.056,4.709,26920.465,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2014,2017,Manufacturing,0.0787504090203227,0.0791728452681167,5541.718147986125,5567.689258191111,436.4125769288139,440.8098166698367,-0.069131792961569,0.0792076706366988,False,943.805516085225,896.4011346575719,-0.0502268535410557,-0.0502268535410557,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,126776877.056,4.709,26920.465,1.0,1.0,0.0,True,never_reciprocal,0
AGO,2014,2017,Services,0.4234763135216381,0.422803844815147,1041.6435721667865,899.6829351958185,441.1113993870523,380.3894110029172,-0.119221108364115,-0.0184357022930375,False,943.805516085225,896.4011346575719,-0.0502268535410557,-0.0502268535410557,Angola,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,126776877.056,4.709,26920.465,1.0,1.0,0.0,True,never_reciprocal,0
BFA,1972,1975,Agriculture,0.8838808905969422,0.8841272045052694,78.80425026721117,90.53802474045024,69.65357090900693,80.04713071520318,0.1488977362699589,0.0003201669984038,False,214.11279977996048,235.39856134564732,0.099413774363615,0.0994137743636149,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,578595.52,0.099,5825.171,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1972,1975,Manufacturing,0.0352967979769124,0.0352219262164131,1980.2133424352007,2135.6012240533605,69.89518676477314,75.21998874128899,0.0784703367541772,-0.0022876663446102,False,214.11279977996048,235.39856134564732,0.099413774363615,0.0994137743636149,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,578595.52,0.099,5825.171,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1972,1975,Services,0.0808223114261453,0.0806508692783175,922.5675566009086,993.5595562228866,74.56404210618041,80.13144188915518,0.076950468828295,-0.0022844552148336,False,214.11279977996048,235.39856134564732,0.099413774363615,0.0994137743636149,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,578595.52,0.099,5825.171,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1975,1978,Agriculture,0.8841272045052694,0.8843652919648022,90.53802474045024,122.5501806689306,80.04713071520318,108.37912630761808,0.3535769199764539,0.0003645060218905,False,235.39856134564732,319.0766948031552,0.3554742772392695,0.3554742772392694,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,939972.672,0.153,6154.548,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1975,1978,Manufacturing,0.0352219262164131,0.0351495545408543,2135.6012240533605,2609.4858360605954,75.21998874128899,91.72226604456456,0.2218975394901366,-0.0025106773086842,False,235.39856134564732,319.0766948031552,0.3554742772392695,0.3554742772392694,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,939972.672,0.153,6154.548,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1975,1978,Services,0.0806508692783175,0.0804851534943435,993.5595562228866,1478.2267012352936,80.13144188915518,118.97530245097256,0.487808828282302,-0.0030570299114504,False,235.39856134564732,319.0766948031552,0.3554742772392695,0.3554742772392694,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,939972.672,0.153,6154.548,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1978,1981,Agriculture,0.8843652919648022,0.8844317272569097,122.5501806689306,151.83429278837136,108.37912630761808,134.28706582765062,0.2389560909628668,9.307286317013944e-05,False,319.0766948031552,429.5138849270306,0.3461148743314091,0.3461148743314091,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1475583.616,0.226,6530.82,0.0,1.0,0.0,True,never_reciprocal,0
