iso3,year0,year1,Y0,Y1,within,structural_change,actual_change,pct_within,pct_structural_change
AGO,2002,2017,737.2029740134831,896.4011112399073,295.12844327478945,-135.93030604836517,159.19813722642425,1.8538435713920085,-0.8538435713920085
BFA,1970,2017,203.32338001864397,690.707244785704,241.5234957119099,245.86036905515024,487.38386476706,0.49555086487597094,0.5044491351240291
BWA,1968,2017,23.12542458793901,112.61453797892221,33.36293439379569,56.12617899718752,89.4891133909832,0.37281556526357634,0.6271844347364236
CMR,1965,2017,455.7143268375007,1335.878078587673,537.3210226160264,342.8427291341459,880.1637517501722,0.6104784723837853,0.3895215276162147
DZA,1999,2017,1189.5918588082457,1402.5977939777554,198.80108562476588,14.204849544743624,213.0059351695097,0.9333124237433129,0.06668757625668716
EGY,1960,2017,9.719706716851213,50.27432318839823,29.62070031979984,10.933916151747182,40.554616471547014,0.7303903450937977,0.26960965490620237
ETH,1961,2017,7.501392185504265,15.020982915219422,1.1707519984506862,6.34883873126447,7.519590729715157,0.15569357968170092,0.8443064203182991
GHA,1960,2017,3.2122795907240174,6.274554545512486,2.002990341735765,1.0592846130527036,3.0622749547884687,0.6540857275417729,0.34591427245822715
KEN,1969,2017,157.8197511801436,234.83390317795164,-17.98182144607319,94.99597344388121,77.01415199780803,-0.23348723552243994,1.2334872355224398
LSO,1970,2017,13.308967651998096,27.836998277751803,11.148289764459298,3.3797408612944104,14.528030625753708,0.7673641425766838,0.23263585742331616
MAR,1970,2017,54.29101734236855,112.63073526026902,29.464000058110123,28.87571785979035,58.33971791790047,0.50504186701029,0.49495813298971
MOZ,1970,2017,26.289553766767476,39.99453169115233,3.3639767928732045,10.34100113151165,13.704977924384856,0.24545656413555997,0.7545434358644401
MUS,1970,2017,141.662840332557,625.4519335850756,387.7714045507877,96.01768870173086,483.78909325251857,0.8015298607577053,0.1984701392422947
MWI,1966,2017,129.76965203695116,138.72523782728342,-33.096647192892384,42.052232983224656,8.955585790332265,-3.695642916917937,4.695642916917937
NAM,1965,2017,70.33030192606935,136.15315815488248,24.029797263242003,41.79305896557114,65.82285622881312,0.3650676777031631,0.6349323222968367
NGA,1960,2017,298.97129019714754,1226.0102219573755,744.7755091717286,182.2634225884994,927.038931760228,0.8033918357210476,0.19660816427895234
RWA,1970,2017,239.6129324157428,802.7358856294193,186.37881944871853,376.7441337649579,563.1229532136765,0.33097357936677335,0.6690264206332267
SEN,1970,2017,1866.4261942467208,1402.277272054138,-913.7752194208318,449.6262972282488,-464.14892219258286,1.968711281509109,-0.9687112815091089
SLE,2001,2017,3053.6997795259012,5035.425968658129,2011.7014405762563,-29.975251444028686,1981.7261891322278,1.0151258289911151,-0.015125828991115297
SWZ,1991,2017,95.27141043808547,107.51114086202932,12.857065681273697,-0.6173352573298416,12.239730423943854,1.0504369978706545,-0.050436997870654525
TZA,1960,2017,1048.395423119106,2542.1342933893907,275.63224912263905,1218.1066211476457,1493.7388702702847,0.18452505629231217,0.8154749437076879
UGA,1990,2017,1860.460721531309,3412.2126432769574,2.2011201002743874,1549.5508016453743,1551.7519217456484,0.0014184742222186067,0.9985815257777814
ZAF,1960,2017,123.78701725015068,171.787501575057,29.078640559780222,18.9218437651261,48.000484324906324,0.6057988990892743,0.3942011009107256
ZMB,1965,2017,38.01488726014656,26.311366773698463,-6.280591775694999,-5.422928710753094,-11.703520486448095,0.5366412425190789,0.46335875748092115
