interval,level,variant,outcome,beta,se,p,n,n_params,n_dropped_redundant,n_clusters,r2,n_other_params_unstable
interval3,sector,baseline (incl. switching),within,0.013789872723259707,0.032922823538350465,0.6753224731494807,1047,127,2,24,0.18359480196764333,0
interval3,sector,drop switching intervals,within,0.005098426227350301,0.046304890264479086,0.9123256526647543,999,127,2,24,0.19085726772538092,3
interval3,country,baseline (incl. switching),within,0.02335878768643149,0.025240796867782883,0.3547382207467392,349,43,0,24,0.14663506607479648,0
interval3,country,drop switching intervals,within,0.018423252479738146,0.029645762750926587,0.534305952026578,333,43,0,24,0.14991349259700015,0
interval3,sector,baseline (incl. switching),structural_change,-0.03188763656799708,0.022173383429852908,0.15040448180444085,1047,127,2,24,0.3339302537992954,1
interval3,sector,drop switching intervals,structural_change,-0.04479432475384875,0.02771758583269738,0.10607320673228732,999,127,2,24,0.34720151049503,3
interval3,country,baseline (incl. switching),structural_change,-0.021225599901233252,0.015075502591476855,0.15914497190099663,349,43,0,24,0.20970545465360368,0
interval3,country,drop switching intervals,structural_change,-0.029787725610716978,0.016044745564784864,0.0633765056705237,333,43,0,24,0.2325609862161283,0
interval5,sector,baseline (incl. switching),within,0.05490920085273561,0.04978203651795644,0.27003052738404343,600,103,2,24,0.22707616300384348,1
interval5,sector,drop switching intervals,within,0.08020221752654486,0.06435509541697343,0.21267445362361592,552,103,2,24,0.24970944199998124,2
interval5,country,baseline (incl. switching),within,0.04225617973120378,0.0463324534760863,0.36175755863524317,200,35,0,24,0.2063449847215928,0
interval5,country,drop switching intervals,within,0.056271306551681874,0.05717878187064202,0.3250520112275521,184,35,0,24,0.2169156995792887,0
interval5,sector,drop short-series countries,within,0.05490920085273572,0.04967933078795954,0.2690415064963495,588,97,2,22,0.22240618808338464,1
interval5,sector,baseline (incl. switching),structural_change,-0.069138208129819,0.04607625104089738,0.1334804762650669,600,103,2,24,0.413961640335318,0
interval5,sector,drop switching intervals,structural_change,-0.09998836392347653,0.055524728464187295,0.07173601928168362,552,103,2,24,0.4332121220172377,2
interval5,country,baseline (incl. switching),structural_change,-0.04416782090409332,0.03323167425800053,0.18381892463768035,200,35,0,24,0.2821369112042327,0
interval5,country,drop switching intervals,structural_change,-0.06211471236068442,0.036169186431793884,0.08591746266678318,184,35,0,24,0.30445050883935154,0
interval5,sector,drop short-series countries,structural_change,-0.06913820812981872,0.04598119074747259,0.13267940599776604,588,97,2,22,0.406470312050184,2
