broad_sector,beta,se,p,outcome,interval
Agriculture,-0.06951380292054206,0.14011731894531548,0.619815798153835,ln_productivity,annual
Manufacturing,0.30257418334449127,0.1587031464077716,0.05657994710429877,ln_productivity,annual
Services,0.21274402562327785,0.17103109188045743,0.21353970432084868,ln_productivity,annual
Agriculture,-0.02044204168498864,0.03685993573002531,0.5791771735468549,within,interval3
Manufacturing,0.04356332234420654,0.07039885824370859,0.5360433598237372,within,interval3
Services,0.018248337510563647,0.023734018714348413,0.4419714254085748,within,interval3
Agriculture,0.01880488246371099,0.021030799350904062,0.3712367250698426,structural_change,interval3
Manufacturing,-0.09620180993219149,0.054393641162378555,0.07695691694754526,structural_change,interval3
Services,-0.01826598223551052,0.019493559220845738,0.3487449092039516,structural_change,interval3
Agriculture,-0.05461967383384572,0.07325064041594667,0.45587611694507135,within,interval5
Manufacturing,0.1807258464992852,0.09882863936745616,0.06744772674806628,within,interval5
Services,0.0386214298927666,0.058852592185836154,0.5116696634171671,within,interval5
Agriculture,0.06365405262567833,0.03675590853060155,0.08330835326574233,structural_change,interval5
Manufacturing,-0.22132717089584703,0.10582773572930251,0.03649303097540975,structural_change,interval5
Services,-0.04974150611928467,0.051971975491699504,0.33852524786047145,structural_change,interval5
